coda,nucleus,onset,jyutping,tone
,oe,b,boe3,3
,oe,b,boe4,4
,oe,b,boe5,5
,oe,b,boe6,6
p,e,b,bep1,1
p,e,b,bep2,2
p,e,b,bep3,3
p,e,b,bep4,4
p,e,b,bep5,5
p,e,b,bep6,6
t,e,b,bet1,1
t,e,b,bet2,2
t,e,b,bet3,3
t,e,b,bet4,4
t,e,b,bet5,5
t,e,b,bet6,6
k,e,b,bek1,1
k,e,b,bek2,2
k,e,b,bek3,3
k,e,b,bek4,4
k,e,b,bek5,5
k,e,b,bek6,6
m,e,b,bem1,1
m,e,b,bem2,2
m,e,b,bem3,3
m,e,b,bem4,4
m,e,b,bem5,5
m,e,b,bem6,6
n,e,b,ben1,1
n,e,b,ben2,2
n,e,b,ben3,3
n,e,b,ben4,4
n,e,b,ben5,5
n,e,b,ben6,6
ng,e,b,beng1,1
ng,e,b,beng2,2
ng,e,b,beng3,3
ng,e,b,beng4,4
ng,e,b,beng5,5
ng,e,b,beng6,6
i,e,b,bei1,1
i,e,b,bei2,2
i,e,b,bei3,3
i,e,b,bei4,4
i,e,b,bei5,5
i,e,b,bei6,6
u,e,b,beu1,1
u,e,b,beu2,2
u,e,b,beu3,3
u,e,b,beu4,4
u,e,b,beu5,5
u,e,b,beu6,6
,e,b,be1,1
,e,b,be2,2
,e,b,be3,3
,e,b,be4,4
,e,b,be5,5
,e,b,be6,6
p,eo,b,beop1,1
p,eo,b,beop2,2
p,eo,b,beop3,3
p,eo,b,beop4,4
p,eo,b,beop5,5
p,eo,b,beop6,6
t,eo,b,beot1,1
t,eo,b,beot2,2
t,eo,b,beot3,3
t,eo,b,beot4,4
t,eo,b,beot5,5
t,eo,b,beot6,6
k,eo,b,beok1,1
k,eo,b,beok2,2
k,eo,b,beok3,3
k,eo,b,beok4,4
k,eo,b,beok5,5
k,eo,b,beok6,6
m,eo,b,beom1,1
m,eo,b,beom2,2
m,eo,b,beom3,3
m,eo,b,beom4,4
m,eo,b,beom5,5
m,eo,b,beom6,6
n,eo,b,beon1,1
n,eo,b,beon2,2
n,eo,b,beon3,3
n,eo,b,beon4,4
n,eo,b,beon5,5
n,eo,b,beon6,6
ng,eo,b,beong1,1
ng,eo,b,beong2,2
ng,eo,b,beong3,3
ng,eo,b,beong4,4
ng,eo,b,beong5,5
ng,eo,b,beong6,6
i,eo,b,beoi1,1
i,eo,b,beoi2,2
i,eo,b,beoi3,3
i,eo,b,beoi4,4
i,eo,b,beoi5,5
i,eo,b,beoi6,6
u,eo,b,beou1,1
u,eo,b,beou2,2
u,eo,b,beou3,3
u,eo,b,beou4,4
u,eo,b,beou5,5
u,eo,b,beou6,6
,eo,b,beo1,1
,eo,b,beo2,2
,eo,b,beo3,3
,eo,b,beo4,4
,eo,b,beo5,5
,eo,b,beo6,6
p,o,b,bop1,1
p,o,b,bop2,2
p,o,b,bop3,3
p,o,b,bop4,4
p,o,b,bop5,5
p,o,b,bop6,6
t,o,b,bot1,1
t,o,b,bot2,2
t,o,b,bot3,3
t,o,b,bot4,4
t,o,b,bot5,5
t,o,b,bot6,6
k,o,b,bok1,1
k,o,b,bok2,2
k,o,b,bok3,3
k,o,b,bok4,4
k,o,b,bok5,5
k,o,b,bok6,6
m,o,b,bom1,1
m,o,b,bom2,2
m,o,b,bom3,3
m,o,b,bom4,4
m,o,b,bom5,5
m,o,b,bom6,6
n,o,b,bon1,1
n,o,b,bon2,2
n,o,b,bon3,3
n,o,b,bon4,4
n,o,b,bon5,5
n,o,b,bon6,6
ng,o,b,bong1,1
ng,o,b,bong2,2
ng,o,b,bong3,3
ng,o,b,bong4,4
ng,o,b,bong5,5
ng,o,b,bong6,6
i,o,b,boi1,1
i,o,b,boi2,2
i,o,b,boi3,3
i,o,b,boi4,4
i,o,b,boi5,5
i,o,b,boi6,6
u,o,b,bou1,1
u,o,b,bou2,2
u,o,b,bou3,3
u,o,b,bou4,4
u,o,b,bou5,5
u,o,b,bou6,6
,o,b,bo1,1
,o,b,bo2,2
,o,b,bo3,3
,o,b,bo4,4
,o,b,bo5,5
,o,b,bo6,6
p,aa,d,daap1,1
p,aa,d,daap2,2
p,aa,d,daap3,3
p,aa,d,daap4,4
p,aa,d,daap5,5
p,aa,d,daap6,6
t,aa,d,daat1,1
